1,MHA,MRA@MHA.GOV.SG**ATT-GEN102,2020-08-31 16:00:00.000000,2,2020-08-22 01:28:16.756143,y
2,MHA,MRA@MHA.GOV.SG**ATT-GEN104,2020-08-31 16:00:00.000000,11,2020-08-21 22:17:10.219908,y
3,MHA,MRA@MHA.GOV.SG**ATT-MHA106M,2020-08-31 16:00:00.000000,,,
4,MHA,MRA@MHA.GOV.SG**DVP-MHA102,2020-08-31 16:00:00.000000,24,2020-08-21 23:04:32.437193,y
5,MHA,MRA@MHA.GOV.SG**PAY-GEN101,2020-08-31 16:00:00.000000,,,
6,MHA,MRB@MHA.GOV.SG**ATT-GEN102,2020-08-31 16:00:00.000000,,,
7,MHA,MRB@MHA.GOV.SG**ATT-GEN104,2020-08-31 16:00:00.000000,,,
8,MHA,MRB@MHA.GOV.SG**ATT-MHA106M,2020-08-31 16:00:00.000000,,,
9,MHA,MRB@MHA.GOV.SG**DVP-MHA102,2020-08-31 16:00:00.000000,,,
10,MHA,MRB@MHA.GOV.SG**PAY-GEN101,2020-08-31 16:00:00.000000,,,
11,MOE,MRC@MOE.GOV.SG**ATT-GEN102,2020-08-31 16:00:00.000000,,,
12,MOE,MRC@MOE.GOV.SG**ATT-GEN104,2020-08-31 16:00:00.000000,,,
13,MOE,MRD@MOE.GOV.SG**ATT-GEN102,2020-08-31 16:00:00.000000,,,
14,MOE,MRD@MOE.GOV.SG**ATT-GEN104,2020-08-31 16:00:00.000000,,,
15,VITAL,MRG@VITAL.GOV.SG**ATT-GEN104,2020-08-31 16:00:00.000000,,,
16,VITAL,MRG@VITAL.GOV.SG**PAY-GEN101,2020-08-31 16:00:00.000000,,,
17,VITAL,MRH@VITAL.GOV.SG**ATT-GEN104,2020-08-31 16:00:00.000000,,,
18,VITAL,MRH@VITAL.GOV.SG**PAY-GEN101,2020-08-31 16:00:00.000000,,,
19,GEN,MRE@PSD.GOV.SG**ATT-GEN102,2020-08-31 16:00:00.000000,,,
20,GEN,MRE@PSD.GOV.SG**ATT-GEN104,2020-08-31 16:00:00.000000,,,
21,GEN,MRF@PSD.GOV.SG**ATT-GEN102,2020-08-31 16:00:00.000000,,,
22,GEN,MRF@PSD.GOV.SG**ATT-GEN104,2020-08-31 16:00:00.000000,,,
23,GEN,MRG@VITAL.GOV.SG**ATT-GEN102,2020-08-31 16:00:00.000000,,,
24,GEN,MRH@VITAL.GOV.SG**ATT-GEN102,2020-08-31 16:00:00.000000,,,
